ano,link,paragrafos_resgatados
2012,http://www1.folha.uol.com.br/equilibrioesaude/853753-pessoas-distraidas-sao-mais-criativas-do-que-as-concentradas.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1204108-franca-condena-psiquiatra-devido-a-crime-de-paciente.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1203433-mae-do-autor-de-massacre-dormia-quando-foi-morta-diz-legista.shtml,[]
2012,http://www1.folha.uol.com.br/equilibrioesaude/1195142-transtorno-mental-que-mais-causa-suicidios-bipolaridade-lesa-o-cerebro.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1181523-assassino-do-cartunista-glauco-e-transferido-para-clinica.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1174340-enfermeiro-baleado-por-atirador-em-sao-paulo-e-liberado-de-hospital.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1174205-homem-que-atirou-em-3-e-transferido-para-penitenciaria-em-sp.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1173880-justica-suspende-transferencia-de-atirador-para-hospital-psiquiatrico-em-sp.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1171703-atirador-e-transferido-para-cela-especial-na-zona-leste-de-sp.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1171250-homem-que-atirou-em-tres-se-rende-apos-quase-9-horas-de-negociacao.shtml,[]
2012,https://fotografia.folha.uol.com.br/galerias/nova/10822-homem-atira-em-tres-em-sao-paulo#foto-176275,[]
2012,http://www1.folha.uol.com.br/cotidiano/1171152-mae-pediu-interdicao-de-atirador-devido-a-esquizofrenia-diz-advogado.shtml,[]
2012,http://www1.folha.uol.com.br/turismo/1156171-confira-algumas-das-personalidades-importantes-da-suica.shtml,[]
2012,http://guia.folha.uol.com.br/teatro/1147671-estreias-de-teatro-conheca-19-novidades-dos-palcos-de-sp.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1142514-breivik-renuncia-a-apelacao-e-rejeita-legitimidade-da-corte.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1142433-atirador-que-matou-77-na-noruega-nao-recorrera-de-pena-diz-advogado.shtml,[]
2012,http://www1.folha.uol.com.br/equilibrioesaude/1141464-pesquisa-liga-idade-avancada-dos-pais-a-risco-de-autismo-e-esquizofrenia-nos-filhos.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1132276-mae-de-percussionista-do-falamansa-e-enterrada-em-sp.shtml,[]
2012,http://www1.folha.uol.com.br/livrariadafolha/1131680-monte-sua-videoteca-com-filmes-de-marilyn-monroe.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1131993-irmao-de-musico-do-falamansa-diz-que-matou-a-mae-porque-ela-pediu-afirma-pai.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1131424-irmao-de-integrante-do-falamansa-mata-a-mae-em-sp-diz-policia.shtml,[]
2012,http://www1.folha.uol.com.br/ilustrada/1128046-bispo-do-rosario-lidera-time-de-brasileiros-em-londres.shtml,[]
2012,http://www1.folha.uol.com.br/ilustrissima/1127085-os-livros-pensam-a-violencia.shtml,[]
2012,http://www1.folha.uol.com.br/equilibrioesaude/1113899-donas-de-gatos-com-parasita-tem-mais-propensao-ao-suicidio-diz-estudo.shtml,[]
2012,http://www1.folha.uol.com.br/tec/1110432-smartphone-acentua-males-psiquiatricos-diz-pesquisador.shtml,[]
